epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,29.283,0.89018,0.4,1,1.63586,0.00025722,0.00025722,0.00025722
2,56.3455,0.43943,0.38333,1,2.38612,0.000511282,0.000511282,0.000511282
3,83.1519,0.25574,0.35,1,3.32134,0.000747424,0.000747424,0.000747424
4,111.342,0.19874,0.33333,1,3.27634,0.000965647,0.000965647,0.000965647
5,137.207,0.1754,0.43333,1,2.4604,0.00116595,0.00116595,0.00116595
6,164.334,0.19589,0.46667,1,2.14827,0.00119322,0.00119322,0.00119322
7,191.014,0.20737,0.43333,1,2.26831,0.00114606,0.00114606,0.00114606
8,218.1,0.20408,0.38333,1,3.69411,0.0010989,0.0010989,0.0010989
9,244.985,0.20811,0.41667,1,2.54061,0.00105174,0.00105174,0.00105174
10,271.854,0.15749,0.5,1,1.52688,0.00100459,0.00100459,0.00100459
11,299.684,0.18013,0.41667,1,2.1535,0.00095743,0.00095743,0.00095743
12,325.922,0.09427,0.41667,1,2.58255,0.000910273,0.000910273,0.000910273
13,351.688,0.09414,0.35,1,3.08554,0.000863116,0.000863116,0.000863116
14,379.33,0.0927,0.41667,1,3.13892,0.000815959,0.000815959,0.000815959
15,405.678,0.12024,0.38333,1,5.00105,0.000768802,0.000768802,0.000768802
16,432.158,0.0636,0.41667,1,3.81221,0.000721645,0.000721645,0.000721645
17,458.441,0.12945,0.36667,1,3.29384,0.000674488,0.000674488,0.000674488
18,484.745,0.06898,0.38333,1,4.05538,0.000627331,0.000627331,0.000627331
19,511.116,0.07632,0.36667,1,3.57978,0.000580174,0.000580174,0.000580174
20,536.683,0.0838,0.46667,1,2.59497,0.000533017,0.000533017,0.000533017
21,564.558,0.05436,0.45,1,2.47087,0.00048586,0.00048586,0.00048586
22,590.795,0.07914,0.45,1,2.65791,0.000438703,0.000438703,0.000438703
23,617.139,0.03359,0.43333,1,2.68786,0.000391546,0.000391546,0.000391546
24,643.262,0.04965,0.4,1,2.63535,0.000344389,0.000344389,0.000344389
25,670.619,0.03333,0.38333,1,2.76117,0.000297232,0.000297232,0.000297232
26,697.248,0.02348,0.38333,1,2.87669,0.000250075,0.000250075,0.000250075
27,723.022,0.05837,0.41667,1,2.77511,0.000202918,0.000202918,0.000202918
28,748.296,0.0297,0.43333,1,2.94308,0.000155761,0.000155761,0.000155761
29,774.35,0.05244,0.43333,1,2.74949,0.000108604,0.000108604,0.000108604
30,800.724,0.04815,0.43333,1,2.9072,6.1447e-05,6.1447e-05,6.1447e-05
