epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,38.9783,0.89677,0.35,1,1.4067,0.00025722,0.00025722,0.00025722
2,65.8066,0.46617,0.38333,1,1.64424,0.000511282,0.000511282,0.000511282
3,91.3426,0.31384,0.55,1,1.15488,0.000747424,0.000747424,0.000747424
4,116.516,0.23012,0.56667,1,1.22635,0.000965647,0.000965647,0.000965647
5,142.366,0.14937,0.56667,1,1.37414,0.00116595,0.00116595,0.00116595
6,168.313,0.201,0.61667,1,1.03033,0.00119322,0.00119322,0.00119322
7,193.998,0.20378,0.6,1,1.71107,0.00114606,0.00114606,0.00114606
8,218.792,0.14516,0.66667,1,1.22934,0.0010989,0.0010989,0.0010989
9,244.481,0.18446,0.63333,1,1.86016,0.00105174,0.00105174,0.00105174
10,270.141,0.15862,0.6,1,1.87547,0.00100459,0.00100459,0.00100459
11,295.671,0.14857,0.6,1,1.79447,0.00095743,0.00095743,0.00095743
12,320.76,0.1365,0.68333,1,1.62877,0.000910273,0.000910273,0.000910273
13,345.841,0.11849,0.73333,1,1.12125,0.000863116,0.000863116,0.000863116
14,371.421,0.10812,0.73333,1,1.07989,0.000815959,0.000815959,0.000815959
15,397.004,0.0919,0.7,1,1.02744,0.000768802,0.000768802,0.000768802
16,422.394,0.07945,0.75,1,1.03224,0.000721645,0.000721645,0.000721645
17,447.007,0.20687,0.68333,1,1.25877,0.000674488,0.000674488,0.000674488
18,472.459,0.09414,0.58333,1,1.54916,0.000627331,0.000627331,0.000627331
19,498.116,0.07406,0.61667,1,1.68673,0.000580174,0.000580174,0.000580174
20,523.357,0.09317,0.6,1,1.54113,0.000533017,0.000533017,0.000533017
21,547.993,0.04455,0.6,1,1.47072,0.00048586,0.00048586,0.00048586
22,573.535,0.09815,0.61667,1,1.76685,0.000438703,0.000438703,0.000438703
23,599.268,0.06294,0.61667,1,1.76007,0.000391546,0.000391546,0.000391546
24,625.188,0.06239,0.61667,1,1.52545,0.000344389,0.000344389,0.000344389
25,650.212,0.04786,0.61667,1,1.34049,0.000297232,0.000297232,0.000297232
26,675.902,0.0604,0.66667,1,1.15482,0.000250075,0.000250075,0.000250075
27,701.681,0.04633,0.66667,1,1.15531,0.000202918,0.000202918,0.000202918
28,727.237,0.03845,0.63333,1,1.17279,0.000155761,0.000155761,0.000155761
29,752.361,0.0591,0.66667,1,1.18912,0.000108604,0.000108604,0.000108604
30,777.041,0.03295,0.65,1,1.22159,6.1447e-05,6.1447e-05,6.1447e-05
